strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	division_exposure	location	segment	length	host	age	sex	originating_lab	submitting_lab	authors	url	Publication doi if not on GenBank	date_submitted	note
Wuhan/WIV04/2019	ncov	EPI_ISL_402124	MN996528	2019-12-30	Asia	China	Hubei	Hubei	Wuhan	genome	29891	Human	49	Female	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Zhou et al	https://www.gisaid.org	?	2020-01-11	
Wuhan/WIV05/2019	ncov	EPI_ISL_402128	MN996529	2019-12-30	Asia	China	Hubei	Hubei	Wuhan	genome	29852	Human	52	Female	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Zhou et al	https://www.gisaid.org	?	2020-01-18	
Wuhan/WIV06/2019	ncov	EPI_ISL_402129	MN996530	2019-12-30	Asia	China	Hubei	Hubei	Wuhan	genome	29854	Human	40	Male	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Zhou et al	https://www.gisaid.org	?	2020-01-18	
Wuhan/WIV07/2019	ncov	EPI_ISL_402130	MN996531	2019-12-30	Asia	China	Hubei	Hubei	Wuhan	genome	29857	Human	56	Male	Wuhan Jinyintan Hospital	Wuhan Institute of Virology, Chinese Academy of Sciences	Zhou et al	https://www.gisaid.org	?	2020-01-18	
Wuhan/IPBCAMS-WH-01/2019	ncov	EPI_ISL_402123	MT019529	2019-12-24	Asia	China	Hubei	Hubei	Wuhan	genome	29899	Human	65	Male	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Ren et al	https://www.gisaid.org	?	2020-01-11	
Wuhan/IPBCAMS-WH-02/2019	ncov	EPI_ISL_403931	MT019530	2019-12-30	Asia	China	Hubei	Hubei	Wuhan	genome	29889	Human	49	Female	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Ren et al	https://www.gisaid.org	?	2020-01-21	
Wuhan/IPBCAMS-WH-03/2019	ncov	EPI_ISL_403930	MT019531	2019-12-30	Asia	China	Hubei	Hubei	Wuhan	genome	29899	Human	41	Male	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Ren et al	https://www.gisaid.org	?	2020-01-21	
Wuhan/IPBCAMS-WH-04/2019	ncov	EPI_ISL_403929	MT019532	2019-12-30	Asia	China	Hubei	Hubei	Wuhan	genome	29890	Human	52	Female	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College	Ren et al	https://www.gisaid.org	?	2020-01-21	
Hangzhou/HZ-1/2020	ncov	EPI_ISL_406970	MT039873	2020-01-20	Asia	China	Zhejiang	Hubei	Hangzhou	genome	29833	Human	32	Male	Hangzhou Center for Disease and Control Microbiology Lab	Hangzhou Center for Disease and Control Microbiology Lab	Hua et al	https://www.gisaid.org	?	2020-02-03	
Yunnan/IVDC-YN-003/2020	ncov	EPI_ISL_408480	MT049951	2020-01-17	Asia	China	Yunnan	Yunnan	Kunming	genome	29891	Human	56	Male	National Institute for Viral Disease Control and Prevention, China CDC	National Institute for Viral Disease Control & Prevention, CCDC	Tan et al	https://www.gisaid.org	?	2020-02-09	
China/WH-09/2020	ncov	EPI_ISL_411957	MT093631	2020-01-08	Asia	China	Hubei	Hubei	Wuhan	genome	29911	Human	?	?	unknown	Key Laboratory of Human Diseases, Comparative Medicine, Institute of Laboratory Animal Science	Linlin et al	https://www.gisaid.org	?	2020-02-22	
Shanghai/SH01/2020	ncov	EPI_ISL_414510	MT121215	2020-02-02	Asia	China	Shanghai	Shanghai		genome	29945	Human	?	?	unknown	Key Laboratory of Medical Molecular Virology (MOE/NHC/CAMS)	Zhang et al	https://www.gisaid.org	?	2020-03-13	
China/IQTC01/2020	ncov	EPI_ISL_412966	MT123290	2020-02-05	Asia	China	Guangdong	Guangdong	Guangzhou	genome	29891	Human	?	?	unknown	Technology Centre, Guangzhou Customs	Shi et al	https://www.gisaid.org	?	2020-02-29	
China/IQTC02/2020	ncov	EPI_ISL_412967	MT123291	2020-01-29	Asia	China	Guangdong	Guangdong	Guangzhou	genome	29927	Human	?	?	unknown	Technology Centre, Guangzhou Customs	Shi et al	https://www.gisaid.org	?	2020-02-29	
China/IQTC04/2020	ncov	?	MT123292	2020-01-27	Asia	China			Guangzhou	genome	29923	Human	?	?	?	?	Huang,J., Shi,Y., Sun,J., Zheng,K., Zhu,A., Sun,F., Zhuang,Z., Dai,J., Zhang,Z., Huang,S., Wang,Y., Li,X.	https://www.ncbi.nlm.nih.gov/genbank/	?	2020-02-28	
China/IQTC03/2020	ncov	?	MT123293	2020-01-29	Asia	China			Guangzhou	genome	29871	Human	?	?	?	?	Zheng,K., Shi,Y., Sun,J., Huang,J., Zhu,A., Sun,F., Zhuang,Z., Dai,J., Chen,Z., Huang,S., Zhang,Z., Li,X., Wang,Y.	https://www.ncbi.nlm.nih.gov/genbank/	?	2020-02-28	
Beijing/105/2020	ncov	EPI_ISL_413518	MT135041	2020-01-26	Asia	China	Beijing	Beijing		genome	29903	Human	?	?	unknown	Infectious Disease Control Center	Li et al	https://www.gisaid.org	?	2020-03-06	
Beijing/231/2020	ncov	EPI_ISL_413519	MT135042	2020-01-28	Asia	China	Beijing	Beijing		genome	29903	Human	?	?	unknown	Infectious Disease Control Center	Li et al	https://www.gisaid.org	?	2020-03-06	
Beijing/233/2020	ncov	EPI_ISL_413520	MT135043	2020-01-28	Asia	China	Beijing	Beijing		genome	29903	Human	?	?	unknown	Infectious Disease Control Center	Li et al	https://www.gisaid.org	?	2020-03-06	
Beijing/235/2020	ncov	EPI_ISL_413521	MT135044	2020-01-28	Asia	China	Beijing	Beijing		genome	29903	Human	?	?	unknown	Infectious Disease Control Center	Li et al	https://www.gisaid.org	?	2020-03-06	
Hangzhou/HZ162/2020	ncov	EPI_ISL_418508	MT253696	2020-01-23	Asia	China	Zhejiang	Zhejiang	Hangzhou	genome	29781	Human	46	Male	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al	https://www.gisaid.org	?	2020-03-30	
Hangzhou/HZ178/2020	ncov	EPI_ISL_418509	MT253697	2020-01-23	Asia	China	Zhejiang	Zhejiang	Hangzhou	genome	29781	Human	25	Female	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al	https://www.gisaid.org	?	2020-03-30	
Hangzhou/HZ185/2020	ncov	EPI_ISL_418510	MT253698	2020-01-23	Asia	China	Hangzhou	Hangzhou		genome	29781	Human	35	Female	Hangzhou Center for Disease Control and Prevention	Insepction Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al	https://www.gisaid.org	?	2020-03-30	
Hangzhou/HZ477/2020	ncov	EPI_ISL_418511	MT253699	2020-01-24	Asia	China	Zhejiang	Zhejiang	Hangzhou	genome	29781	Human	36	Male	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al	https://www.gisaid.org	?	2020-03-30	
Hangzhou/HZ481/2020	ncov	EPI_ISL_418512	MT253700	2020-01-25	Asia	China	Zhejiang	Zhejiang	Hangzhou	genome	29781	Human	38	Female	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al	https://www.gisaid.org	?	2020-03-30	
Hangzhou/HZ48/2020	ncov	EPI_ISL_418441	MT253701	2020-01-21	Asia	China	Hangzhou	Hangzhou		genome	29781	Human	35	Male	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al	https://www.gisaid.org	?	2020-03-30	
Hangzhou/HZ49/2020	ncov	EPI_ISL_418442	MT253702	2020-01-21	Asia	China	Hangzhou	Hangzhou		genome	29781	Human	40	Female	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al	https://www.gisaid.org	?	2020-03-30	
Hangzhou/HZ551/2020	ncov	EPI_ISL_418513	MT253703	2020-01-25	Asia	China	Hangzhou	Hangzhou		genome	29781	Human	37	Male	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al	https://www.gisaid.org	?	2020-03-30	
Hangzhou/HZ576/2020	ncov	EPI_ISL_418514	MT253704	2020-01-25	Asia	China	Zhejiang	Zhejiang	Hangzhou	genome	29781	Human	33	Female	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al	https://www.gisaid.org	?	2020-03-30	
Hangzhou/HZ60/2020	ncov	EPI_ISL_418502	MT253705	2020-01-22	Asia	China	Hangzhou	Hangzhou		genome	29781	Human	41	Female	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al	https://www.gisaid.org	?	2020-03-30	
Hangzhou/HZ62/2020	ncov	EPI_ISL_418503	MT253706	2020-01-22	Asia	China	Hangzhou	Hangzhou		genome	29781	Human	33	Female	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al	https://www.gisaid.org	?	2020-03-30	
Hangzhou/HZ638/2020	ncov	EPI_ISL_418515	MT253707	2020-01-25	Asia	China	Hangzhou	Hangzhou		genome	29781	Human	34	Male	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al	https://www.gisaid.org	?	2020-03-30	
Hangzhou/HZ79/2020	ncov	EPI_ISL_418504	MT253708	2020-01-21	Asia	China	Hangzhou	Hangzhou		genome	29781	Human	33	Male	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al	https://www.gisaid.org	?	2020-03-30	
Hangzhou/HZ90/2020	ncov	EPI_ISL_418506	MT253709	2020-01-21	Asia	China	Hangzhou	Hangzhou		genome	29781	Human	34	Female	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hanghzou Center for Disease Control and Prevention	Yu hua et al	https://www.gisaid.org	?	2020-03-30	
Hangzhou/HZ91/2020	ncov	EPI_ISL_418507	MT253710	2020-01-21	Asia	China	Zhejiang	Zhejiang	Hangzhou	genome	29781	Human	31	Male	Hangzhou Center for Disease Control and Prevention	Inspection Center of Hangzhou Center for Disease Control and Prevention	Yu hua et al	https://www.gisaid.org	?	2020-03-30	
Wuhan/OS52/2020	ncov	?	MT259226	2020-01-10	Asia	China			Wuhan	genome	29868	Human	?	?	?	?	Si,H., Zhu,Y., Lin,H., Xie,S., Shi,Z., Zhou,P.	https://www.ncbi.nlm.nih.gov/genbank/	?	2020-03-30	
Wuhan/YB012611/2020	ncov	?	MT259227	2020-01-26	Asia	China			Wuhan	genome	29863	Human	?	?	?	?	Si,H., Zhu,Y., Lin,H., Xie,S., Shi,Z., Zhou,P.	https://www.ncbi.nlm.nih.gov/genbank/	?	2020-03-30	
Wuhan/YB012605/2020	ncov	?	MT259228	2020-01-26	Asia	China			Wuhan	genome	29861	Human	?	?	?	?	Si,H., Zhu,Y., Lin,H., Xie,S., Shi,Z., Zhou,P.	https://www.ncbi.nlm.nih.gov/genbank/	?	2020-03-30	
Wuhan/YB012602/2020	ncov	?	MT259229	2020-01-26	Asia	China			Wuhan	genome	29864	Human	?	?	?	?	Si,H., Zhu,Y., Lin,H., Xie,S., Shi,Z., Zhou,P.	https://www.ncbi.nlm.nih.gov/genbank/	?	2020-03-30	
Wuhan/YB012506/2020	ncov	?	MT259230	2020-01-25	Asia	China			Wuhan	genome	29866	Human	?	?	?	?	Si,H., Zhu,Y., Lin,H., Xie,S., Shi,Z., Zhou,P.	https://www.ncbi.nlm.nih.gov/genbank/	?	2020-03-30	
Wuhan/YB012504/2020	ncov	?	MT259231	2020-01-25	Asia	China			Wuhan	genome	29865	Human	?	?	?	?	Si,H., Zhu,Y., Lin,H., Xie,S., Shi,Z., Zhou,P.	https://www.ncbi.nlm.nih.gov/genbank/	?	2020-03-30	
Colombia/79256/2020	ncov	EPI_ISL_417924	MT256924	2020-03-11	South America	Colombia	Antioquia	Antioquia		genome	29903	Human	?	Male	Secretaria de Salud Medellin	Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine	Marcela Mercado-Reyes et al	https://www.gisaid.org	?	2020-03-27	
Finland/1/2020	ncov	EPI_ISL_407079	MT020781	2020-01-29	Europe	Finland	Lapland	Hubei	Rovaniemi	genome	29859	Human	32	Female	Lapland Central Hospital	Department of Virology, University of Helsinki and Helsinki University Hospital, Helsinki, Finland	Smura et al	https://www.gisaid.org	?	2020-02-03	
France/B1623/2020	ncov	EPI_ISL_418219	?	2020-02-26	Europe	France	Bretagne	Bretagne	Brest	genome	29836	Human	73	Male	CHU - Hopital Cavale Blanche - Labo. de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	travel from Egypt
France/B2330/2020	ncov	EPI_ISL_416502	?	2020-02-26	Europe	France	Bretagne	Bretagne	Rennes	genome	29837	Human	70	Unknown	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	travel from Egypt
France/B2334/2020	ncov	EPI_ISL_416503	?	2020-03-01	Europe	France	Bretagne	Bretagne	Rennes	genome	29873	Human	23	Unknown	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	travel from Venice, Italy
France/B2335/2020	ncov	EPI_ISL_416504	?	2020-03-02	Europe	France	Bretagne	Bretagne	Rennes	genome	29862	Human	79	Unknown	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/B2336/2020	ncov	EPI_ISL_416505	?	2020-03-02	Europe	France	Bretagne	Bretagne	Rennes	genome	29868	Human	49	Unknown	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/B2337/2020	ncov	EPI_ISL_416506	?	2020-03-03	Europe	France	Bretagne	Bretagne	Rennes	genome	29867	Human	59	Unknown	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/B2340/2020	ncov	EPI_ISL_416507	?	2020-03-05	Europe	France	Bretagne	Bretagne	Rennes	genome	29877	Human	25	Unknown	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	travel from Venice, Italy
France/B2343/2020	ncov	EPI_ISL_416508	?	2020-03-06	Europe	France	Bretagne	Bretagne	Rennes	genome	29865	Human	72	Unknown	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/B2344/2020	ncov	EPI_ISL_416509	?	2020-03-06	Europe	France	Bretagne	Bretagne	Rennes	genome	29871	Human	32	Unknown	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/B2346/2020	ncov	EPI_ISL_416510	?	2020-03-06	Europe	France	Bretagne	Bretagne	Rennes	genome	29882	Human	63	Unknown	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/B2348/2020	ncov	EPI_ISL_416511	?	2020-03-07	Europe	France	Bretagne	Bretagne	Rennes	genome	29837	Human	56	Unknown	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/B2349/2020	ncov	EPI_ISL_416512	?	2020-03-07	Europe	France	Bretagne	Bretagne	Rennes	genome	29800	Human	67	Unknown	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/B2351/2020	ncov	EPI_ISL_416513	?	2020-03-07	Europe	France	Bretagne	Bretagne	Rennes	genome	29882	Human	40	Unknown	CHRU Pontchaillou - Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-22	
France/BFC2094/2020	ncov	EPI_ISL_415651	?	2020-03-05	Europe	France	Bourgogne-Franche-Comté	Bourgogne-Franche-Comté	Montreux-Chateau	genome	29882	Human	79	Female	Unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-18	
France/BFC2147/2020	ncov	EPI_ISL_415652	?	2020-03-05	Europe	France	Bourgogne-Franche-Comté	Bourgogne-Franche-Comté	Thise	genome	29882	Human	86	Male	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-18	
France/BFC2709/2020	ncov	EPI_ISL_420038	?	2020-03-17	Europe	France	Bourgogne-Franche-Comté	Bourgogne-Franche-Comté	Montreux-Château	genome	29879	Human	74	Female	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/CVL2000/2020	ncov	EPI_ISL_418222	?	2020-03-04	Europe	France	Centre-Val de Loire	Centre-Val de Loire	Tours	genome	29836	Human	73	Female	CHRU Bretonneau - Serv. Bacterio-Virol.	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/GE1583/2020	ncov	EPI_ISL_414623	?	2020-02-25	Europe	France	Grand Est	Grand Est	Strasbourg	genome	29903	Human	36	Male	Laboratoire de Virologie Institut de Virologie - INSERM U 1109 Hopitaux Universitaires de Strasbourg	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-15	travel from Lombardy, Italy
France/GE1973/2020	ncov	EPI_ISL_414631	?	2020-03-04	Europe	France	Grand Est	Grand Est	Reims	genome	29903	Human	88	Male	Hopital Robert Debre Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-15	
France/GE1977/2020	ncov	EPI_ISL_414632	?	2020-03-04	Europe	France	Grand Est	Grand Est	Reims	genome	29903	Human	70	Male	Hopital Robert Debre Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-15	
France/GE2720/2020	ncov	EPI_ISL_420039	?	2020-03-12	Europe	France	Grand Est	Grand Est	Strasbourg	genome	29879	Human	87	Female	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/GE2722/2020	ncov	EPI_ISL_420040	?	2020-03-12	Europe	France	Grand Est	Grand Est	Strasbourg	genome	29879	Human	95	Female	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/GE2843/2020	ncov	EPI_ISL_420045	?	2020-03-17	Europe	France	Grand Est	Grand Est	Woippy	genome	29879	Human	59	Male	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	
France/GE3067/2020	ncov	EPI_ISL_420055	?	2020-03-17	Europe	France	Grand Est	Grand Est	Spicheren	genome	29879	Human	55	Male	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-31	travel from Switzerland
France/HF1463/2020	ncov	?	?	2020-02-19	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29879	Human	56	Male	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	?	?	?	2020-03-26	
France/HF1645/2020	ncov	EPI_ISL_418220	?	2020-02-28	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29836	Human	54	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/HF1684/2020	ncov	EPI_ISL_414626	?	2020-02-29	Europe	France	Hauts de France	Hauts de France	Crépy en Valois	genome	29903	Human	88	Female	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-15	
France/HF1795/2020	ncov	EPI_ISL_414627	?	2020-03-02	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29897	Human	78	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-15	
France/HF1805/2020	ncov	EPI_ISL_414628	?	2020-03-02	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29902	Human	82	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-15	
France/HF1813/2020	ncov	EPI_ISL_418221	?	2020-03-02	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29836	Human	86	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-29	
France/HF1870/2020	ncov	EPI_ISL_414629	?	2020-03-03	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29902	Human	88	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-15	
France/HF1871/2020	ncov	EPI_ISL_414630	?	2020-03-03	Europe	France	Hauts de France	Hauts de France	Compiègne	genome	29903	Human	65	Male	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Albert et al	https://www.gisaid.org	?	2020-03-15	
